"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"CMA CGM BELEM";"MALTESA";"336
10";"Long";"26/08/2025 22:30:00";"3791-5";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3671-9
2025";"366272025";"B";"TECON";"09938286";""
"XIN CHANG SHA";"CHINESA";"263
11.5";"Long";"08/09/2025 04:40:00";"3974-8";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"3875-3
2025";"389022025";"B";"TECON";"09312559";""
"JPO PISCES";"LIBERIANA";"264
9";"Long";"13/09/2025 05:30:00";"4049-5";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4153-1
2025";"365692025";"B";"TECON";"09297852";""
"ZIM THAILAND";"TAILANDESA";"334
13";"Long";"16/09/2025 20:06:00";"4105-0";"ZIM DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"5400
5400";"4055-0
2025";"399962025";"B";"EPORT 1/TECON 1";"09936513";""
"ALESSIA";"LIBERIANA";"300
11.7";"Long";"17/09/2025 12:00:00";"4118-1";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"4206-8
2025";"422292025";"B";"TECON";"09225653";""
"CATHERINE C";"MALTESA";"272
13.5";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
1800";"4088-5
2025";"411302025";"B";"B.T.P. 1";"09969998";""
"CMA CGM AMAZONIA";"MALTESA";"336
10";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3230-2
2025";"324342025";"B";"TECON";"09938298";""
"CMA CGM NIAGARA";"MALTESA";"300
10";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3771-3
2025";"374642025";"B";"TECON";"09722675";""
"CMA CGM VERACRUZ (REB S/L";"BRASILEIRA";"229
8";"Cabo";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"2984-3
2025";"296932025";"B";"TECON";"09418377";""
"COSCO SHIPPING MEXICO";"HONG KONG";"336
14.3";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"3380-4
2025";"338132025";"B";"TECON";"09945863";""
"COSCO SHIPPING PERU";"HONG KONG";"336
11.5";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"3895-4
2025";"390572025";"B";"TECON";"09945875";""
"COSCO SHIPPING URUGUAY";"HONG KONG";"336
11.5";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"3612-2
2025";"360802025";"B";"TECON";"09945851";""
"EVER FEAT";"LIBERIANA";"334
13.5";"Long";"19/09/2025";"";"EVERGREEN SHIPPING AGENCY(BR) SA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"19800
180";"3483-8
2025";"347062025";"B";"TECON";"09850898";""
"HANS SCHULTE";"HONG KONG";"275
10";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4268-3
2025";"427172025";"B";"TECON";"09531909";""
"HYUNDAI PREMIUM";"LIBERIANA";"255
10";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4240-1
2025";"414042025";"B";"EPORT 1/TECON 1";"09625530";""
"IRENES RESOLVE";"LIBERIANA";"257
12";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"2304
180";"3368-4
2025";"335732025";"B";"TECON";"09227273";""
"KOTA PURI";"HONG KONG";"330
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
12600";"3395-1
2025";"340152025";"B";"TECON";"09793959";""
"LOG-IN JATOBÁ";"BRASILEIRA";"218
9.1";"Cabo";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4022-4
2025";"404452025";"B";"TECON";"09471898";""
"LOG-IN RESILIENTE (REB)";"BRASILEIRA";"211
9.1";"Cabo";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4009-8
2025";"403522025";"B";"B.T.P. 1";"09327669";""
"MAERSK JAIPUR";"MALTESA";"222
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3733-4
2025";"331812025";"B";"EPORT 1/TECON 1";"09343974";""
"MAERSK LABREA";"DINAMARQUESA";"300
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"2595-7
2025";"257122025";"B";"B.T.P. 1";"09527063";""
"MIRADOR EXPRESS";"LIBERIANA";"243
9";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4536
360";"4126-4
2025";"409812025";"B";"TECON";"09243174";""
"MSC AVNI";"LIBERIANA";"314
13.8";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4086-2
2025";"411362025";"B";"B.T.P. 1";"09756729";""
"MSC SHAY";"PANAMENHA";"340
13.8";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"3810-9
2025";"378152025";"B";"B.T.P. 1";"09393022";""
