"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"SEASPAN ZAMBEZI";"HONG KONG";"336
5";"Long";"19/09/2025 04:06:00";"4143-2";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"21852
180";"4035-9
2025";"406542025";"B";"B.T.P. 1";"09630406";""
"XIN WEI HAI";"CHINESA";"263
12.4";"Long";"19/09/2025 07:00:00";"";"COSCO BRASIL S/A";"EMB
";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
";"4203-9
2025";"422332025";"B";"TECON";"09312573";""
"MSC GAYANE";"LIBERIANA";"314
14.2";"Long";"19/09/2025 07:11:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"18000
1800";"4089-1
2025";"411482025";"B";"B.T.P. 1";"09770763";""
"CMA CGM BAHIA";"MALTESA";"336
10";"Long";"19/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4270-8
2025";"426982025";"B";"TECON";"09938248";""
"CMA CGM YUKON";"MALTESA";"300
10";"Long";"19/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4276-6
2025";"427392025";"B";"TECON";"09732606";""
"MSC MAGNUM VII";"LIBERIANA";"300
10.4";"Long";"19/09/2025 12:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
14400";"4299-6
2025";"428882025";"B";"B.T.P. 1";"09252541";""
"MSC PETRA";"LIBERIANA";"300
13.5";"Long";"19/09/2025 15:00:00";"4152-1";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"18000
1800";"4028-2
2025";"403702025";"B";"B.T.P. 1";"09222302";""
"EVER FAME";"PANAMENHA";"334
13";"Long";"19/09/2025 19:00:00";"";"EVERGREEN SHIPPING AGENCY(BR) SA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"180
19800";"4059-5
2025";"408692025";"B";"TECON";"09850800";""
"MSC SARA ELENA";"PORTUGUESA";"300
13.8";"Long";"19/09/2025 19:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4111-7
2025";"411462025";"B";"B.T.P. 1";"09702261";""
"COSTA RICA EXPRESS";"ILHAS MARSHALL";"270
9";"Long";"20/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"360
35802";"4200-0
2025";"417422025";"B";"EPORT 1/TECON 1";"09641235";""
"BBC MONT BLANC";"ANTIGUANA";"126
7";"Long";"20/09/2025 07:00:00";"";"BPA AGENCIAMENTOS MARITIMOS LTDA.";"EMB
";"CONTEINERES CHEIOS
";"36
";"4293-8
2025";"427902025";"B";"TECONDI";"09508433";""
"MAERSK MONTE AZUL";"SINGAPURENSE";"272
9";"Long";"20/09/2025 10:04:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4148-8
2025";"353012025";"B";"EPORT 1/TECON 1";"09348053";""
"SAN RAPHAEL MAERSK";"DINAMARQUESA";"333
9";"Long";"20/09/2025 10:16:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4135-3
2025";"342802025";"B";"B.T.P. 1";"09622253";""
"CMA CGM SHANGHAI";"MALTESA";"300
10";"Long";"20/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4269-0
2025";"424682025";"B";"TECON";"09295220";""
"DALIAN EXPRESS";"LIBERIANA";"321
9";"Long";"21/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"18612
126";"4102-8
2025";"411992025";"B";"EPORT 1/TECON 1";"09229829";""
"HYUNDAI FORCE";"ILHAS MARSHALL";"340
10";"Long";"21/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4305-6
2025";"431502025";"B";"EPORT 1/TECON 1";"09347566";""
"MAERSK LETICIA (AO)";"DINAMARQUESA";"300
9";"Long";"21/09/2025 05:48:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4301--
2025";"353082025";"B";"B.T.P. 1";"09526916";""
"SAN ANTONIO MAERSK";"DINAMARQUESA";"333
9";"Long";"21/09/2025 08:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
180";"4145-9
2025";"387372025";"B";"EPORT 1/TECON 1";"09622241";""
"GSL ARCADIA";"LIBERIANA";"277
9";"Long";"21/09/2025 13:15:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4137-6
2025";"347442025";"B";"B.T.P. 1";"09214214";""
"MAERSK RUBICON";"SINGAPURENSE";"250
9";"Long";"21/09/2025 14:57:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4136-0
2025";"347592025";"B";"B.T.P. 1";"09632480";""
"LOG-IN JACARANDA";"BRASILEIRA";"218
9.1";"Cabo";"21/09/2025 18:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4295--
2025";"429262025";"B";"TECON";"09471886";""
"NC BRAVO (REB S/L)";"BRASILEIRA";"224
7";"Cabo";"22/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"4500
6300";"4093-9
2025";"412042025";"B";"TECON";"09612791";""
"AMSTERDAM EXPRESS";"LIBERIANA";"294
5";"Long";"22/09/2025 10:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12834
4266";"4237--
2025";"424442025";"B";"TECON";"09193317";""
"MSC MADHU B";"PORTUGUESA";"230
13.8";"Long";"22/09/2025 12:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4110--
2025";"411372025";"B";"B.T.P. 1";"09778088";""
"SJARD";"ANTIGUANA";"143
9.6";"Long";"22/09/2025 12:00:00";"";"OCEAN WORLD SHIPPING - AG MAR E OPER PORT. LTDA-EPP";"EMB
";"CONTEINERES CHEIOS
";"1044
";"4398-4
2025";"439502025";"B";"CODESP-TECONDI";"09303314";""
"LOG-IN JATOBÁ";"BRASILEIRA";"218
9.1";"Cabo";"22/09/2025 17:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4104--
2025";"411562025";"B";"TECON";"09471898";""
"MSC ILLINOIS VII";"LIBERIANA";"304
13.8";"Long";"22/09/2025 18:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4373-1
2025";"436672025";"B";"B.T.P. 1";"09197545";""
"C HAMBURG";"LIBERIANA";"334
13.8";"Long";"22/09/2025 19:05:00";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4224-6
2025";"423122025";"B";"B.T.P. 1";"09450375";""
"PARANAGUA EXPRESS";"SINGAPURENSE";"330
9";"Long";"23/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"360
35802";"4221-7
2025";"422122025";"B";"B.T.P. 1";"09786724";""
"RDO FORTUNE";"LIBERIANA";"256
5";"Long";"23/09/2025 10:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"2106
18396";"4239-3
2025";"424462025";"B";"EPORT 1/TECON 1";"09623673";""
"LOG-IN DISCOVERY (REB S/L";"BRASILEIRA";"209
9.1";"Cabo";"23/09/2025 11:00:00";"";"MSC MEDITERRANEAN SHIPPING DO BR";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"7200
7200";"4296-7
2025";"429272025";"B";"TECON";"09506394";""
"CMA CGM FORT ST LOUIS";"CIPRIOTA";"197
10";"Long";"23/09/2025 12:00:00";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
4500";"4345-8
2025";"434962025";"B";"TECON";"09261889";""
"MAERSK LABERINTO";"DINAMARQUESA";"300
9";"Long";"23/09/2025 20:30:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"4162--
2025";"372802025";"B";"EPORT 1/TECON 1";"09526978";""
"CZECH";"LIBERIANA";"300
9";"Long";"24/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1080
26226";"4198-5
2025";"422152025";"B";"B.T.P. 1";"09723241";""
"MSC GHANA";"LIBERIANA";"260
10";"Long";"24/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
12600";"4343-5
2025";"428592025";"B";"TECON";"09974503";""
